" NLC"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits"," Interchanges"
9704,1856,843,1068,3767,1778,851,1068,3697,7464,4331
9680,11270,10446,6135,27851,12677,10449,6135,29261,57112,
3098,4473,2455,16115,23043,3826,4082,16115,24023,47067,
5703,16356,33465,4499,54320,17769,33586,4499,55854,110173,6462
8359,38995,45851,1005,85851,42165,44487,1005,87657,173507,1249
2919,8796,15664,4821,29281,9793,18897,4821,33511,62792,
7914,803,1477,11444,13724,899,1478,11444,13821,27544,
5351,53576,76916,144077,274569,52775,77302,144077,274154,548722,
5077,67493,92742,241822,402057,62730,130840,241822,435393,837450,19390
5047,61496,121474,365128,548099,26271,103438,365128,494837,1042936,138253
3820,50546,36350,56079,142975,52349,36417,56079,144845,287819,
9795,59781,37570,55731,153082,72286,37586,55731,165603,318685,2089
8232,6872,4572,3326,14770,7340,5520,3326,16186,30956,
3568,653,403,0,1056,703,403,0,1106,2162,
2425,5203,248,88,5539,5749,250,88,6087,11625,
6874,134470,127275,591834,853579,124459,128130,591834,844422,1698001,
7447,92827,177657,245372,515856,110481,177802,245372,533655,1049511,
7469,82361,70563,299388,452312,77114,70689,299388,447191,899502,
2762,3204,9132,1847,14183,3395,10019,1847,15261,29443,
5820,87,200,60,347,91,200,60,351,698,
6664,25750,34401,8259,68410,28807,34075,8259,71141,139551,
7051,702,5127,5213,11042,930,5155,5213,11298,22340,
5097,6177,8665,13057,27899,7481,8930,13057,29468,57367,
5143,660171,783520,939174,2382865,146678,696061,939174,1781913,4164778,1413670
9911,337117,228066,423613,988796,389316,228104,423613,1041033,2029829,
3004,28665,51804,29016,109485,28094,53799,29016,110909,220393,
5144,68225,154014,280706,502944,49569,161186,280706,491461,994405,37258
5008,5543,5729,7018,18290,7579,5831,7018,20428,38718,
2947,3980,4297,2693,10970,2699,5347,2693,10739,21708,
5199,249486,402255,778297,1430038,251762,400444,778297,1430503,2860540,37985
7792,260,69,177,506,275,69,177,521,1027,
2870,53981,83087,34867,171935,50608,89630,34867,175105,347040,1510
5352,66067,72970,169246,308282,59701,73415,169246,302361,610643,
1372,5195,9745,22560,37500,4218,12565,22560,39343,76842,
2764,4641,4493,1325,10459,5228,4506,1325,11059,21517,
6836,390522,842526,1845153,3078201,400521,842013,1845153,3087687,6165887,31839
5098,38902,20547,250175,309624,28343,24411,250175,302929,612554,
4731,101471,267595,38682,407748,107563,266687,38682,412932,820680,57889
3774,15929,21628,6387,43944,17861,21798,6387,46046,89990,
2573,8372,2726,2517,13615,8762,2730,2517,14009,27623,
5553,37423,30172,88035,155630,41553,30446,88035,160034,315663,
6814,120492,134737,389353,644582,114890,133288,389353,637531,1282113,39998
5582,24843,37159,75155,137157,17433,37238,75155,129825,266982,
5554,27816,54506,35565,117887,29571,54464,35565,119600,237487,
2412,258109,714565,106244,1078918,268809,714315,106244,1089368,2168285,290023
1130,48097,42238,3413,93748,51580,42154,3413,97147,190894,
6615,157861,226027,53375,437263,163800,227049,53375,444224,881486,46745
7736,20608,12220,9009,41837,22837,12237,9009,44083,85919,
5200,7835,12248,49247,69330,8323,13386,49247,70956,140285,
5840,542,326,0,868,560,325,0,885,1753,
5255,198117,373883,333444,905444,194965,370154,333444,898563,1804006,4064
5009,3123,4022,2611,9756,4194,4050,2611,10855,20610,
5296,2793,1834,3662,8289,2415,1864,3662,7941,16230,
6914,100190,99517,349336,549043,86880,99703,349336,535919,1084961,
2823,8392,8793,5138,22323,10114,8792,5138,24044,46366,1683
3267,149560,227019,149682,526261,151790,232712,149682,534184,1060444,10483
5353,7722,7436,32431,47589,6872,7529,32431,46832,94420,
4449,3637,8839,1424,13900,4489,9237,1424,15150,29049,
5099,78102,75310,253540,406952,66077,75749,253540,395367,802319,
5583,56194,28687,48595,133476,56198,29038,48595,133831,267307,
3031,24353,40809,42244,107406,24187,41900,42244,108331,215736,
2745,128789,77651,76088,282528,129549,80148,76088,285785,568313,
5879,46798,68442,45787,161027,46488,69068,45787,161343,322370,
5319,9834,14594,22931,47359,9461,14723,22931,47115,94473,
2556,7014,4104,1915,13033,7479,4116,1915,13510,26543,
8233,10597,1621,9452,21670,11579,1617,9452,22648,44318,734
4365,13028,23625,13795,50448,14920,23678,13795,52393,102840,
3785,91,472,0,563,87,475,0,562,1125,
5121,400024,1749209,4108497,6257730,455775,1757788,4108497,6322060,12579789,2004
6850,27104,174579,132653,334336,24147,176722,132653,333522,667858,
5555,19547,17106,33486,70139,19228,17246,33486,69960,140098,
2653,1544,423,443,2410,1656,423,443,2522,4931,
5301,26457,3766,11852,42075,29413,3761,11852,45025,87100,
5595,1496847,1744898,4494079,7735824,1852189,1743485,4494079,8089752,15825576,4600478
6926,54040,80228,263851,398119,69105,80665,263851,413620,811739,2811
4069,475,914,105,1494,452,912,105,1469,2963,
9792,69611,55827,57630,183068,84517,55851,57630,197998,381066,
4593,1005,153,180,1338,1214,164,180,1558,2895,
5556,43586,55395,114593,213574,43295,55970,114593,213858,427432,
6274,33653,65741,1557,100951,34300,65926,1557,101783,202734,
9718,8285,6528,5280,20093,10521,6527,5280,22328,42421,
2795,217,10,90,317,204,35,90,329,645,
3202,34013,3757,22012,59782,37225,3752,22012,62989,122771,
2574,26012,40262,10732,77006,21136,40595,10732,72463,149469,
5048,50125,80317,238478,368920,36927,90621,238478,366026,734946,1191
4070,2164,3119,184,5467,2403,3117,184,5704,11171,
9855,44804,47713,86832,179349,58016,47715,86832,192563,371911,
9747,8323,7016,1959,17298,12708,7013,1959,21680,38978,
9752,61030,57824,73486,192340,62358,57823,73486,193667,386006,
9762,37617,30925,30323,98865,37678,30925,30323,98926,197790,
5557,56070,66301,101764,224135,59123,66828,101764,227715,451850,
4616,5519,3863,6743,16125,6049,3922,6743,16714,32839,
3828,25083,32630,18289,76002,26995,32711,18289,77995,153997,
6861,150303,744690,1009811,1904804,148061,765583,1009811,1923455,3828259,173836
6853,16259,34911,27441,78611,2337,32452,27441,62230,140840,
6349,9346,407,3157,12910,9486,409,3157,13052,25962,
5457,9146,15304,20578,45028,11095,15688,20578,47361,92389,
2562,13184,15529,2537,31250,12870,15553,2537,30960,62209,
4876,9111,8227,3390,20728,11570,8336,3390,23296,44023,
2451,27286,80135,16197,123618,26683,79865,16197,122745,246362,4561
3005,540,140,308,988,455,144,308,907,1894,
7515,295,396,1147,1838,300,396,1147,1843,3681,
1227,21050,15077,14715,50842,23255,15149,14715,53119,103961,
6488,8118,14969,3089,26176,8511,14583,3089,26183,52359,
8708,473,872,0,1345,598,871,0,1469,2814,
8470,22799,4924,11107,38830,26247,4903,11107,42257,81087,
3624,75314,210568,711,286593,65433,157160,711,223304,509896,
2486,2480,5537,1432,9449,3260,5619,1432,10311,19760,
5458,8348,24666,12514,45528,8997,24373,12514,45884,91412,
3019,20720,31532,34473,86725,19827,34488,34473,88788,175512,
5336,1783,985,8648,11416,1955,994,8648,11597,23012,
3570,27,5,0,32,8,5,0,13,45,
5821,109,96,0,205,164,96,0,260,465,
7504,4671,15923,2088,22682,7937,15920,2088,25945,48627,
9627,25426,18127,15276,58829,24346,18127,15276,57749,116577,
2049,1743,387,1422,3552,2502,387,1422,4311,7863,
8824,498,520,0,1018,565,521,0,1086,2104,
8825,2678,1132,0,3810,3799,1128,0,4927,8737,
3905,22135,25379,16218,63732,19336,25361,16218,60915,124646,
1143,19419,26412,527,46358,20165,26424,527,47116,93473,
4617,16971,17843,2244,37058,14733,17855,2244,34832,71889,
5896,114327,131368,56329,302024,108029,131439,56329,295797,597821,
8056,30668,37005,46182,113855,35413,37006,46182,118601,232455,
8505,2780,1343,462,4585,3419,1260,462,5141,9726,
5408,51797,92576,243047,387420,57400,112043,243047,412491,799911,
1030,342834,691396,87840,1122070,344061,688907,87840,1120808,2242878,207287
5409,517,933,2268,3718,847,1083,2268,4198,7915,
9185,17249,24926,13698,55873,17332,24919,13698,55949,111822,
4639,42136,42732,6824,91692,39221,44295,6824,90340,182031,
9970,13590,16172,38152,67914,13478,16173,38152,67803,135717,
7579,9861,2429,3432,15722,9949,2432,3432,15813,31535,
3634,8457,15929,3735,28121,9322,16126,3735,29183,57303,2389
5484,142091,325057,239483,706631,154599,319410,239483,713492,1420122,1717
5100,53849,66870,333161,453880,54984,68676,333161,456821,910701,
5754,3558,4589,699,8846,4021,4610,699,9330,18176,
6837,369,1809,15233,17411,2296,1941,15233,19470,36881,
2225,23232,19634,559,43425,17095,12585,559,30239,73663,
1874,6112,11601,1201,18914,5642,11602,1201,18445,37359,
1243,258391,422992,104965,786348,248363,422920,104965,776248,1562596,1201886
5832,5998,32521,2256,40775,6274,32992,2256,41522,82297,
6007,4049,4955,1463,10467,6021,4966,1463,12450,22917,
8826,2511,2439,0,4950,2444,2439,0,4883,9833,851
4312,2948,3786,52,6786,2814,3764,52,6630,13415,
1519,59261,80893,141260,281413,39632,82896,141260,263788,545201,
9778,23253,16700,21188,61141,25877,16699,21188,63764,124904,
5078,37653,37954,129931,205538,23305,41445,129931,194681,400220,
7295,19755,40348,2197,62300,20680,40359,2197,63236,125535,
1822,2670,4242,126,7038,2895,4164,126,7185,14222,
9628,12081,9664,3940,25685,18449,9666,3940,32055,57740,
8473,47144,30973,11120,89237,46004,30271,11120,87395,176632,
8554,34263,25306,7737,67306,36666,25414,7737,69817,137122,
9814,30786,25353,101206,157345,38973,25353,101206,165532,322876,
9796,45568,25891,32959,104418,64878,25891,32959,123728,228145,
2313,9076,11002,1248,21326,8707,11005,1248,20960,42286,
7406,11744,5790,16917,34450,16541,6022,16917,39480,73930,
5325,9745,12550,46190,68485,9585,13328,46190,69103,137588,
5233,2214,5106,12370,19690,3022,5212,12370,20604,40294,
6524,3863,3329,1946,9138,3965,3326,1946,9237,18374,
5628,33357,44149,40672,118178,36023,44571,40672,121266,239443,
9943,83131,51595,86439,221165,91056,51639,86439,229134,450298,
5356,78840,100130,235233,414204,68523,100597,235233,404353,818557,665242
2305,9566,9443,1655,20664,9151,9450,1655,20256,40920,
6008,48372,49456,160897,258725,43842,49584,160897,254323,513048,
3107,4135,2020,7593,13748,4319,2071,7593,13983,27730,
8625,481,276,0,757,517,275,0,792,1549,
9721,35096,26469,19776,81341,38817,26494,19776,85087,166428,1266
9121,20920,39498,10051,70469,23362,39496,10051,72909,143377,
9218,7942,2902,4657,15501,7772,2906,4657,15335,30836,
6964,5468,9597,31638,46703,4291,9669,31638,45598,92302,
5201,6812,5562,4362,16736,8200,5825,4362,18387,35122,
3981,5291,8847,1674,15812,4560,8854,1674,15088,30899,
3738,25458,44335,15101,84894,28121,44312,15101,87534,172427,
4147,76,349,0,425,115,449,0,564,989,
7440,10183,4230,20872,35285,11352,4300,20872,36525,71810,
2777,19314,22718,14371,56403,12493,24118,14371,50982,107385,
9135,29547,26708,40923,97178,37224,26722,40923,104869,202046,
8711,594,496,5,1095,620,497,5,1122,2217,
9790,11905,10136,4510,26551,13322,10137,4510,27969,54519,
9415,33063,24036,82814,139913,39914,24053,82814,146781,286694,
9992,113846,67025,81726,262597,118881,67014,81726,267621,530217,5410
9864,35549,28963,93003,157515,34285,28962,93003,156250,313765,
9483,20019,14687,13792,48498,25415,14687,13792,53894,102392,
2077,7303,121,508,7932,8326,120,508,8954,16886,
1429,86240,128298,379536,594074,49060,126895,379536,555491,1149565,
1957,3400,5230,1310,9940,3711,5233,1310,10254,20193,
8628,628,306,0,934,813,315,0,1128,2062,
7915,885,2443,9409,12737,1010,2448,9409,12867,25604,
3797,7596,5650,6742,19988,7540,5661,6742,19943,39930,
4519,999,800,298,2097,1036,1034,298,2368,4464,
7877,273683,394269,72629,740581,274154,395017,72629,741800,1482381,163882
6729,911,1551,509,2971,1019,1539,509,3067,6038,
7211,4937,8149,69,13155,5889,8154,69,14112,27266,
5101,235051,349292,738955,1323298,239209,346763,738955,1324927,2648224,198715
8420,14111,21990,5366,41467,14663,22117,5366,42146,83612,
2576,23255,29386,10896,63537,25973,29865,10896,66734,130271,
5668,28561,36981,37913,103455,32153,37265,37913,107331,210785,
2770,18830,25169,21539,65538,15128,28555,21539,65222,130760,
3408,28696,62761,34963,126420,29638,62750,34963,127351,253770,
3409,3069,20179,909,24157,6400,20199,909,27508,51664,
5011,40058,75381,82247,197686,40598,75852,82247,198697,396383,
5942,1712,1565,1346,4623,1770,1568,1346,4684,9306,
2877,2648,6436,543,9627,2394,7793,543,10730,20357,
2963,1934,4684,1113,7731,2461,4769,1113,8343,16074,
5412,171,382,3643,4196,206,387,3643,4236,8431,160594
2480,2235,786,1170,4191,2536,803,1170,4509,8700,
8441,4360,2914,333,7607,3515,2544,333,6392,13998,
2306,2400,4591,121,7112,2691,4593,121,7405,14517,
8432,11172,12422,3373,26967,11978,12244,3373,27595,54562,
3052,21908,36558,42526,100992,20606,36612,42526,99744,200736,
3060,1473,2231,4045,7749,2388,2227,4045,8660,16409,
5421,233463,142367,367239,743068,193002,141026,367239,701267,1444335,25509
2103,2519,806,0,3325,2672,806,0,3478,6803,
5145,46709,53000,112825,212534,42159,53201,112825,208185,420719,
1823,310978,720625,128230,1159833,308914,718601,128230,1155745,2315577,209633
7212,5227,8789,362,14378,6090,8812,362,15264,29642,
2652,2810,6653,900,10363,3018,6845,900,10763,21125,
3579,6672,1761,2162,10595,6661,1768,2162,10591,21185,
8326,117277,147657,12997,277931,119336,147369,12997,279702,557632,
3030,203043,357163,419660,979866,206976,360226,419660,986862,1966728,174981
5753,18991,14413,16447,49851,18585,14406,16447,49438,99289,
5502,2099,1734,836,4669,2698,1731,836,5265,9933,
3901,6448,15199,4315,25962,6972,15228,4315,26515,52476,
3830,17081,29402,16367,62850,22114,29408,16367,67889,130738,
3861,2640,5856,870,9366,3018,5867,870,9755,19121,
8632,11467,2769,577,14813,7035,2764,577,10376,25188,136
7897,2887,1312,1718,5917,2717,1322,1718,5757,11673,
2893,8193,8141,6678,23012,6236,10848,6678,23762,46774,
2765,7906,13503,1302,22711,7445,13586,1302,22333,45043,
7348,41003,113789,27659,182451,45126,118149,27659,190934,373384,
3588,1946,376,47,2369,1867,376,47,2290,4659,
6781,3060,4270,525,7855,3363,4344,525,8232,16086,
4188,138,497,0,635,141,549,0,690,1325,
5036,154,495,78,727,378,507,78,963,1690,
2538,600,38,5,643,518,38,5,561,1204,
2452,3797,250,0,4047,3595,254,0,3849,7896,
6417,410052,619032,153529,1182613,407331,628385,153529,1189245,2371858,1032140
5961,54552,101240,34969,190761,54822,101471,34969,191262,382022,
5962,45,75,16,136,44,75,16,135,270,
6690,13685,7370,2125,23180,13524,7614,2125,23263,46442,
5357,128395,215377,244306,588078,125062,225455,244306,594823,1182901,32285
5297,11,12,221,244,15,11,221,247,490,
5413,4714,7061,30322,42097,5357,7106,30322,42785,84881,
4525,45812,62973,14530,123315,43622,64084,14530,122236,245550,
2766,466,1759,67,2292,870,1805,67,2742,5034,
5033,128930,215393,90327,434650,123555,209911,90327,423793,858442,40266
6901,4764,34450,23480,62694,3854,33995,23480,61329,124023,
4436,272,144,0,416,365,165,0,530,946,2302
7055,27566,57279,31952,116797,29845,57393,31952,119190,235986,
3099,880,323,1409,2612,2812,565,1409,4786,7398,
6000,25836,14933,34980,75749,17829,14939,34980,67748,143497,
9317,12717,9253,14130,36100,14761,9254,14130,38145,74245,
8057,23696,34800,28152,86648,26443,34808,28152,89403,176050,
1994,1189,365,814,2368,1120,360,814,2294,4661,
4878,83676,28293,29036,141005,93757,28252,29036,151045,292050,47332
6616,3468,605,1318,5391,3287,617,1318,5222,10613,
9994,56104,33286,25812,115202,56597,33293,25812,115702,230904,
9967,6966,6642,4251,17859,9763,6641,4251,20655,38514,
9757,27767,20243,18851,66861,27890,20242,18851,66983,133844,
9993,34914,26663,25193,86770,31323,26670,25193,83186,169955,
1040,15320,8667,1449,25436,15319,8651,1449,25419,50855,
1212,21224,22355,1089,44668,25018,22499,1089,48606,93274,
1691,4305,3645,2339,10289,4873,3748,2339,10960,21248,
8681,100,64,0,164,151,64,0,215,379,
9906,8659,6326,2030,17015,9997,6327,2030,18354,35369,
7027,3214,1425,4761,9400,3751,1431,4761,9943,19343,
9866,94737,81078,100639,276454,110205,81090,100639,291934,568387,119015
9868,60798,43833,21410,126041,66149,43832,21410,131391,257432,
9622,12735,13460,3623,29818,20410,13458,3623,37491,67309,
9490,13454,125879,3219,142552,14497,128140,3219,145856,288408,77
5034,2914,5582,4337,12833,3690,6785,4337,14812,27645,
9397,5758,51057,46855,103670,6006,57112,46855,109973,213643,
8713,55257,81792,36409,173458,60272,82921,36409,179602,353060,
5944,1984,1853,753,4590,1972,1865,753,4590,9179,
8682,153,61,0,214,115,61,0,176,390,
9039,133527,378333,53311,565171,127144,377701,53311,558156,1123326,21990
9186,71358,75997,87959,235314,79707,76008,87959,243674,478987,
9187,17908,19375,25661,62944,18344,19428,25661,63433,126377,
8763,2521,4616,23,7160,2940,4744,23,7707,14866,
9492,9612,13270,7799,30681,12294,13273,7799,33366,64047,
8642,71,9,0,80,76,9,0,85,165,
7744,13,11,0,24,67,11,0,78,102,
5102,2171,1671,13214,17056,4974,1909,13214,20097,37152,
7745,160786,415666,73168,649620,162603,414513,73168,650284,1299903,952
5282,44987,70220,98638,213845,43360,69931,98638,211929,425773,
8905,77809,43029,18702,139540,84494,43029,18702,146225,285764,
4455,3505,2990,706,7201,3829,3082,706,7617,14818,
7916,8821,7497,5036,21354,10965,7506,5036,23507,44860,
3190,209654,836351,1577632,2623637,209034,830399,1577632,2617064,5240701,53908
2292,46762,35281,15363,97406,45487,34494,15363,95344,192749,16645
5694,64615,47412,53808,165835,52105,47826,53808,153739,319574,
5584,278645,258124,889123,1425892,291522,257516,889123,1438160,2864051,
5414,16852,9065,64372,90289,15124,11543,64372,91039,181327,
4520,3422,9517,13444,26383,3781,9754,13444,26979,53361,
7746,28974,19138,2717,50829,22286,13310,2717,38313,89141,
5355,1326017,2035912,3170607,6532536,1443785,2046144,3170607,6660536,13193073,3269375
2949,16478,22641,9390,48509,15211,24983,9390,49584,98093,
5358,73784,62915,200024,336722,53287,63270,200024,316580,653303,
5234,2379,1891,3588,7858,3312,1962,3588,8862,16720,
8472,34633,18807,12780,66220,30428,18582,12780,61790,128010,
5486,67705,149098,249556,466359,74448,146377,249556,470381,936739,
9793,114994,76042,84882,275918,110546,76108,84882,271536,547453,
5134,6436,8805,25758,40999,10440,8933,25758,45131,86129,
7471,37637,37823,69726,145186,28562,37876,69726,136164,281349,
5283,17684,25054,72692,115430,25341,26015,72692,124048,239477,
5448,128197,723655,471391,1323243,153597,705227,471391,1330215,2653458,5345
3795,20171,32142,16323,68636,21520,32187,16323,70030,138665,
9894,43721,25470,38385,107576,43472,25473,38385,107330,214905,
2128,23032,24731,328,48091,19796,22665,328,42789,90879,
5899,148800,180062,170065,498927,143171,181388,170065,494624,993550,141300
8114,52,52,15,119,69,51,15,135,254,
2950,7919,13880,5335,27134,7478,14419,5335,27232,54366,
7370,499,211,1569,2279,593,173,1569,2335,4613,
2227,7813,8479,11,16303,7250,8254,11,15515,31817,
2824,5720,11699,190,17609,6221,11706,190,18117,35725,
5056,25277,29457,105954,160688,20798,36223,105954,162975,323662,
5473,24777,37079,31349,93205,31448,40792,31349,103589,196793,12641
5359,9175,6952,30523,46650,5053,7047,30523,42623,89273,3576
2169,5738,4771,268,10777,6181,4607,268,11056,21833,19512
9328,1749119,3068390,1277154,6094663,1640677,3058281,1277154,5976112,12070774,496559
6941,97668,112909,410455,621031,71231,112517,410455,594203,1215234,9708
5642,32070,36143,53861,122074,28860,37757,53861,120478,242552,27338
5822,1214,2329,1028,4571,1476,2334,1028,4838,9409,
5669,160153,235273,186306,581732,169095,235320,186306,590721,1172453,
7918,553,781,4715,6049,486,781,4715,5982,12031,
5246,69276,55398,95090,219764,77948,49532,95090,222570,442333,463603
8977,25572,62462,5840,93874,27042,62529,5840,95411,189285,
2121,25204,30917,7555,63676,43223,31060,7555,81838,145513,666
5049,40140,55528,226952,322620,27744,61812,226952,316508,639128,4
5135,60903,72642,280036,413581,53125,72315,280036,405476,819057,
7349,9944,2300,1113,13357,10351,2301,1113,13765,27121,
6667,17362,30245,4851,52458,18497,29109,4851,52457,104914,
6832,17046,16895,75181,109122,19323,16986,75181,111490,220611,
1542,128769,287584,442810,859163,122490,297798,442810,863098,1722262,
5103,165819,165911,569719,901449,141782,166332,569719,877833,1779283,
6238,70,7,135,212,75,7,135,217,429,
7068,121564,182879,150561,455004,122250,182787,150561,455598,910602,214300
7473,2499,1953,7514,11966,8429,2009,7514,17952,29918,
5257,31289,41798,32342,105429,35544,41937,32342,109823,215252,
6010,56651,59237,225763,341651,30582,58703,225763,315048,656699,2094
6815,49949,48251,172749,270949,51722,51562,172749,276033,546982,
6959,107774,134269,298857,540900,94628,133730,298857,527215,1068116,
2747,1098,2864,169,4131,1052,2947,169,4168,8299,
5360,414194,475621,703688,1593503,417006,477039,703688,1597733,3191235,147959
5361,5627,7476,11143,24246,5497,7543,11143,24183,48429,
1041,50681,48116,6278,105075,54896,48121,6278,109295,214369,
5459,1889,2005,9382,13276,1905,2302,9382,13589,26865,
5104,42681,43542,136985,223208,35920,44448,136985,217353,440562,
5558,79703,113330,148740,341773,79014,113672,148740,341426,683198,
6004,32813,20953,120021,173787,32419,20946,120021,173386,347173,
5217,10817,24166,68176,103159,10805,25349,68176,104330,207488,
1294,1841,629,486,2956,2311,647,486,3444,6400,
1444,2281738,6673194,4841932,13796864,2936324,6613480,4841932,14391736,28188600,1282311
2080,11828,3857,2229,17914,12639,3941,2229,18809,36723,
4740,31999,69789,14868,116656,35427,69818,14868,120113,236768,437
5415,42359,33166,105340,180865,52913,33341,105340,191594,372458,
5586,69965,67063,187253,324281,72360,67225,187253,326838,651119,
5755,102083,241110,146455,489648,88186,240937,146455,475578,965226,12227
3410,172704,498280,66482,737466,173494,495778,66482,735754,1473219,468402
3414,7953,7753,4183,19889,7405,7758,4183,19346,39235,
9914,72577,82324,30464,185365,74722,82355,30464,187541,372905,
5756,64970,161653,84435,311058,69738,163246,84435,317419,628476,
5760,1657,3597,961,6215,2052,3597,961,6610,12825,
5065,11501,10039,34294,55834,10167,11484,34294,55945,111779,
2951,8434,12940,2867,24241,7140,15766,2867,25773,50014,
4416,10034,8070,1512,19616,9880,8014,1512,19406,39022,
2780,749,659,532,1940,729,1185,532,2446,4386,
9452,6283,4982,2558,13823,7469,4981,2558,15008,28830,
3873,3549,2811,1187,7547,3452,2808,1187,7447,14993,
5137,61079,38844,231069,330992,57805,38945,231069,327819,658811,
9930,141901,151044,93950,386895,196485,151121,93950,441556,828451,25653
9931,39465,65307,86543,191315,23365,65250,86543,175158,366472,1535
8726,47,16,0,63,41,16,0,57,120,
5337,90427,219708,63091,373226,78447,211586,63091,353124,726349,
3508,3643,7839,116,11598,4062,7748,116,11926,23523,
3591,14518,23282,56,37856,16341,23636,56,40033,77889,
6875,3487,6287,44800,54574,3239,6849,44800,54888,109461,
5900,164245,227163,146307,537715,165253,228938,146307,540498,1078213,81089
5521,288197,313076,443523,1044796,291917,313585,443523,1049025,2093820,31376
5688,489,1278,1490,3257,419,1154,1490,3063,6320,
5643,70809,76989,104771,252569,68052,77256,104771,250079,502648,
5545,119632,169708,187148,476488,122549,178277,187148,487974,964461,1616
5105,14281,17016,52473,83770,13769,18888,52473,85130,168899,
2811,2675,6542,521,9738,1984,7146,521,9651,19388,
9245,6806,6290,2270,15366,7524,6293,2270,16087,31453,
5167,109272,206504,347801,663577,113868,203431,347801,665100,1328676,38907
5493,663,183,1038,1884,587,190,1038,1815,3699,
2126,48181,50470,1118,99769,48759,51648,1118,101525,201293,
8637,321,126,31,478,275,126,31,432,910,
8544,7780,9393,134,17307,6452,8764,134,15350,32656,
7214,26942,57265,3929,88136,26685,57484,3929,88098,176234,
5559,224564,240816,263290,728669,215661,239682,263290,718633,1447302,
7490,960075,1181744,6084960,8226779,1223062,1181269,6084960,8489291,16716070,280348
5808,7752,12517,5910,26179,6132,12514,5910,24556,50734,
1377,2160,3751,2360,8271,2137,3734,2360,8231,16502,
3862,3486,7972,1091,12549,3339,7968,1091,12398,24946,
8061,14451,1081,2543,18075,16699,1088,2543,20330,38404,
4074,2827,3323,3558,9708,3197,3327,3558,10082,19789,
4066,194,931,0,1125,173,737,0,910,2035,
8062,14800,25808,4653,45261,15801,25825,4653,46279,91540,
3235,64891,15194,79727,159812,65382,15154,79727,160263,320074,
1445,23341,36566,97387,157293,40839,36874,97387,175100,332393,
6119,392047,381613,852766,1626425,152955,380857,852766,1386579,3013004,4685186
3012,276,82,480,838,200,87,480,767,1605,
5261,6220,6155,13880,26255,6404,6157,13880,26441,52695,
5284,11928,16660,10084,38672,15612,17704,10084,43400,82071,
4076,1871,6816,0,8687,2241,6726,0,8967,17654,
6351,2545,280,767,3592,2536,282,767,3585,7177,
8583,17701,21253,993,39947,21145,20830,993,42968,82915,682
4503,90879,60387,6364,157630,100172,60583,6364,167119,324749,
5522,120332,149260,259892,529484,126076,153625,259892,539593,1069077,60
2026,1392,770,633,2795,1465,772,633,2870,5664,
2513,22282,45898,14038,82218,21229,46118,14038,81385,163602,
1532,64091,159758,298883,522732,60286,163948,298883,523117,1045849,
2935,6014,9625,6603,22242,5000,11042,6603,22645,44886,
2786,11133,16401,7095,34629,10499,25477,7095,43071,77699,
5035,90926,165672,155921,412519,99038,161579,155921,416538,829057,104
5027,7696,8013,23479,39188,6088,7754,23479,37321,76509,
5258,7638,16055,10548,34241,6851,16359,10548,33758,67998,57859
6876,78282,121106,383567,582956,57803,120669,383567,562040,1144996,
5362,156061,230095,623847,1010003,113267,230351,623847,967465,1977469,
2354,62491,81274,1134,144899,59569,77078,1134,137781,282679,
8638,9478,21866,2627,33971,10333,21854,2627,34814,68785,
8639,419,218,0,637,436,220,0,656,1293,
9675,12421,10250,9659,32330,12496,10253,9659,32408,64737,
8827,30969,27706,0,58675,18262,27542,0,45804,104479,176
1042,46363,43146,2479,91988,42198,43166,2479,87843,179831,
2046,1615,5122,1294,8031,1781,5455,1294,8530,16560,
7029,3525,4903,12217,20645,6506,4948,12217,23671,44315,
5218,6892,6382,33779,47053,6644,7277,33779,47700,94753,
5509,190504,251114,98982,540600,172495,250205,98982,521682,1062282,17779
2355,33428,46511,94,80033,38234,55618,94,93946,173978,
3344,4579,2771,1774,9124,5405,2770,1774,9949,19073,
5683,32503,28800,17419,78722,29988,30357,17419,77764,156485,
6854,6975,41495,45774,94244,6928,42564,45774,95266,189510,
8556,36682,18767,10833,66282,38195,18026,10833,67054,133336,
2284,18726,14907,19672,53305,22574,14947,19672,57193,110497,
5707,12912,18785,6799,38496,13148,18914,6799,38861,77357,
5587,25353,24414,65980,115748,21015,24559,65980,111555,227302,
2952,2281,3765,2023,8069,2535,3768,2023,8326,16394,
3144,18101,15478,39381,72960,17261,16892,39381,73534,146493,
6465,3,9,0,12,3,9,0,12,24,56
6424,17021,20235,6182,43438,18496,20255,6182,44933,88371,44
9971,1167,649,41,1857,1472,650,41,2163,4020,
8474,87253,47766,30637,165656,82280,47152,30637,160069,325724,
2654,4374,285,205,4864,4688,285,205,5178,10041,
9904,61670,45899,55699,163268,63322,45898,55699,164919,328187,
9979,32809,18082,18803,69694,31280,18083,18803,68166,137859,
2104,3384,908,0,4292,3801,917,0,4718,9010,
1559,9465,10827,17919,38211,9854,11742,17919,39515,77726,
2228,28095,33561,747,62403,31198,40993,747,72938,135341,
2335,34499,27216,3513,65228,32128,27163,3513,62804,128031,
3961,3898,5585,1538,11021,2887,5584,1538,10009,21029,
4148,101,644,10,755,133,760,10,903,1658,
8640,3962,371,0,4333,1519,371,0,1890,6223,
